Numero_Documento__c,Codigo_Materia,ID_Importacion,Anio_Lectivo
31559920,DAT-201,31559920_DAT-201_2025-1,2025-1
43605753,DAT-101,43605753_DAT-101_2025-1,2025-1
44284579,GEN-101,44284579_GEN-101_2025-1,2025-1
40305444,DAT-201,40305444_DAT-201_2025-1,2025-1
39820530,NEG-400,39820530_NEG-400_2025-1,2025-1
43498834,NEG-400,43498834_NEG-400_2025-1,2025-1
31349203,MKT-200,31349203_MKT-200_2025-1,2025-1
44521729,UX-100,44521729_UX-100_2025-1,2025-1
44965151,IA-400,44965151_IA-400_2025-1,2025-1
34441439,GEN-101,34441439_GEN-101_2025-1,2025-1
44101321,DEV-101,44101321_DEV-101_2025-1,2025-1
30125745,DEV-101,30125745_DEV-101_2025-1,2025-1
37679372,IA-400,37679372_IA-400_2025-1,2025-1
46572742,DEV-101,46572742_DEV-101_2025-1,2025-1
30064860,DAT-201,30064860_DAT-201_2025-1,2025-1
46966361,DAT-201,46966361_DAT-201_2025-1,2025-1
34057124,MKT-200,34057124_MKT-200_2025-1,2025-1
46193548,DAT-201,46193548_DAT-201_2025-1,2025-1
33381581,GEN-101,33381581_GEN-101_2025-1,2025-1
41234290,DEV-101,41234290_DEV-101_2025-1,2025-1
31486885,DEV-101,31486885_DEV-101_2025-1,2025-1
37013243,DAT-201,37013243_DAT-201_2025-1,2025-1
38946448,DAT-201,38946448_DAT-201_2025-1,2025-1
33379578,DAT-305,33379578_DAT-305_2025-1,2025-1
39220415,DEV-101,39220415_DEV-101_2025-1,2025-1
45711997,MKT-200,45711997_MKT-200_2025-1,2025-1
47221206,DAT-201,47221206_DAT-201_2025-1,2025-1
45539704,NEG-400,45539704_NEG-400_2025-1,2025-1
44490644,UX-100,44490644_UX-100_2025-1,2025-1
45775192,IA-300,45775192_IA-300_2025-1,2025-1
34316765,NEG-400,34316765_NEG-400_2025-1,2025-1
38020693,DAT-201,38020693_DAT-201_2025-1,2025-1
43690930,GEN-101,43690930_GEN-101_2025-1,2025-1
34577564,DAT-101,34577564_DAT-101_2025-1,2025-1
34832335,IA-400,34832335_IA-400_2025-1,2025-1
34841664,DEV-101,34841664_DEV-101_2025-1,2025-1
40774819,DAT-201,40774819_DAT-201_2025-1,2025-1
44025027,DAT-201,44025027_DAT-201_2025-1,2025-1
36659434,GEN-101,36659434_GEN-101_2025-1,2025-1
34923335,NEG-400,34923335_NEG-400_2025-1,2025-1
47607767,DAT-101,47607767_DAT-101_2025-1,2025-1
39160706,MKT-200,39160706_MKT-200_2025-1,2025-1
30713710,DAT-201,30713710_DAT-201_2025-1,2025-1
46762093,NEG-400,46762093_NEG-400_2025-1,2025-1
39068971,DAT-101,39068971_DAT-101_2025-1,2025-1
31153469,IA-400,31153469_IA-400_2025-1,2025-1
40916647,DAT-305,40916647_DAT-305_2025-1,2025-1
36971688,DEV-101,36971688_DEV-101_2025-1,2025-1
34785335,MKT-200,34785335_MKT-200_2025-1,2025-1
32098690,IA-300,32098690_IA-300_2025-1,2025-1
40283838,IA-300,40283838_IA-300_2025-1,2025-1
43615605,MKT-200,43615605_MKT-200_2025-1,2025-1
46398361,GEN-101,46398361_GEN-101_2025-1,2025-1
33452954,DAT-305,33452954_DAT-305_2025-1,2025-1
34944058,DAT-201,34944058_DAT-201_2025-1,2025-1
37799625,GEN-101,37799625_GEN-101_2025-1,2025-1
34888999,IA-300,34888999_IA-300_2025-1,2025-1
44216431,DAT-101,44216431_DAT-101_2025-1,2025-1
43456083,MKT-200,43456083_MKT-200_2025-1,2025-1
31318273,MKT-200,31318273_MKT-200_2025-1,2025-1
40287807,DAT-201,40287807_DAT-201_2025-1,2025-1
36745278,DEV-101,36745278_DEV-101_2025-1,2025-1
43558573,GEN-101,43558573_GEN-101_2025-1,2025-1
46314784,NEG-400,46314784_NEG-400_2025-1,2025-1
45759579,DAT-101,45759579_DAT-101_2025-1,2025-1
36257669,DAT-305,36257669_DAT-305_2025-1,2025-1
45311516,IA-300,45311516_IA-300_2025-1,2025-1
44827801,IA-300,44827801_IA-300_2025-1,2025-1
33179098,DAT-101,33179098_DAT-101_2025-1,2025-1
46518516,DEV-101,46518516_DEV-101_2025-1,2025-1
44229724,DEV-101,44229724_DEV-101_2025-1,2025-1
47611874,GEN-101,47611874_GEN-101_2025-1,2025-1
44221505,DEV-101,44221505_DEV-101_2025-1,2025-1
35930527,DAT-101,35930527_DAT-101_2025-1,2025-1
40400092,DAT-101,40400092_DAT-101_2025-1,2025-1
41132630,UX-100,41132630_UX-100_2025-1,2025-1
44345701,DAT-305,44345701_DAT-305_2025-1,2025-1
32816822,DAT-201,32816822_DAT-201_2025-1,2025-1
40745106,UX-100,40745106_UX-100_2025-1,2025-1
34869838,DAT-201,34869838_DAT-201_2025-1,2025-1
46256042,IA-400,46256042_IA-400_2025-1,2025-1
35850567,IA-400,35850567_IA-400_2025-1,2025-1
30677244,NEG-400,30677244_NEG-400_2025-1,2025-1
32776935,IA-400,32776935_IA-400_2025-1,2025-1
34130787,MKT-200,34130787_MKT-200_2025-1,2025-1
35951430,NEG-400,35951430_NEG-400_2025-1,2025-1
37456292,DAT-201,37456292_DAT-201_2025-1,2025-1
38531146,DAT-305,38531146_DAT-305_2025-1,2025-1
35038799,DEV-101,35038799_DEV-101_2025-1,2025-1
33362152,IA-300,33362152_IA-300_2025-1,2025-1
43871165,GEN-101,43871165_GEN-101_2025-1,2025-1
31864701,IA-300,31864701_IA-300_2025-1,2025-1
32905120,DAT-201,32905120_DAT-201_2025-1,2025-1
31355414,UX-100,31355414_UX-100_2025-1,2025-1
31360651,DAT-101,31360651_DAT-101_2025-1,2025-1
43652049,DAT-101,43652049_DAT-101_2025-1,2025-1
41398180,UX-100,41398180_UX-100_2025-1,2025-1
31297438,UX-100,31297438_UX-100_2025-1,2025-1
37226510,NEG-400,37226510_NEG-400_2025-1,2025-1
47826221,GEN-101,47826221_GEN-101_2025-1,2025-1
32986537,IA-300,32986537_IA-300_2025-1,2025-1
34353357,NEG-400,34353357_NEG-400_2025-1,2025-1
37639684,MKT-200,37639684_MKT-200_2025-1,2025-1
40967959,NEG-400,40967959_NEG-400_2025-1,2025-1
35809204,IA-400,35809204_IA-400_2025-1,2025-1
44224033,DAT-305,44224033_DAT-305_2025-1,2025-1
40228309,NEG-400,40228309_NEG-400_2025-1,2025-1
43496203,GEN-101,43496203_GEN-101_2025-1,2025-1
43831919,UX-100,43831919_UX-100_2025-1,2025-1
36304118,DEV-101,36304118_DEV-101_2025-1,2025-1
47649810,NEG-400,47649810_NEG-400_2025-1,2025-1
40253163,IA-300,40253163_IA-300_2025-1,2025-1
43615605,IA-300,43615605_IA-300_2025-1,2025-1
35077928,DAT-305,35077928_DAT-305_2025-1,2025-1
39126892,DAT-201,39126892_DAT-201_2025-1,2025-1
38002503,IA-300,38002503_IA-300_2025-1,2025-1
31379839,DAT-101,31379839_DAT-101_2025-1,2025-1
47454606,DAT-201,47454606_DAT-201_2025-1,2025-1
37974144,IA-300,37974144_IA-300_2025-1,2025-1
44730308,DAT-305,44730308_DAT-305_2025-1,2025-1
31848115,IA-400,31848115_IA-400_2025-1,2025-1
45474619,GEN-101,45474619_GEN-101_2025-1,2025-1
33568791,DAT-305,33568791_DAT-305_2025-1,2025-1
47021675,MKT-200,47021675_MKT-200_2025-1,2025-1
43991288,IA-400,43991288_IA-400_2025-1,2025-1
32705831,DAT-305,32705831_DAT-305_2025-1,2025-1
38452657,DAT-101,38452657_DAT-101_2025-1,2025-1
39820530,UX-100,39820530_UX-100_2025-1,2025-1
32965831,UX-100,32965831_UX-100_2025-1,2025-1
35821025,DAT-201,35821025_DAT-201_2025-1,2025-1
41785959,GEN-101,41785959_GEN-101_2025-1,2025-1
36745278,UX-100,36745278_UX-100_2025-1,2025-1
32463030,MKT-200,32463030_MKT-200_2025-1,2025-1
34896530,DAT-305,34896530_DAT-305_2025-1,2025-1
31278420,DAT-101,31278420_DAT-101_2025-1,2025-1
46828583,DAT-305,46828583_DAT-305_2025-1,2025-1
36421707,IA-300,36421707_IA-300_2025-1,2025-1
44101321,UX-100,44101321_UX-100_2025-1,2025-1
39107282,GEN-101,39107282_GEN-101_2025-1,2025-1
40176154,IA-300,40176154_IA-300_2025-1,2025-1
46890428,DAT-101,46890428_DAT-101_2025-1,2025-1
34355144,UX-100,34355144_UX-100_2025-1,2025-1
38693211,GEN-101,38693211_GEN-101_2025-1,2025-1
35608376,DAT-201,35608376_DAT-201_2025-1,2025-1
30811908,UX-100,30811908_UX-100_2025-1,2025-1
33175574,DAT-101,33175574_DAT-101_2025-1,2025-1
46780927,IA-300,46780927_IA-300_2025-1,2025-1
40045468,GEN-101,40045468_GEN-101_2025-1,2025-1
34648956,GEN-101,34648956_GEN-101_2025-1,2025-1
37008739,IA-300,37008739_IA-300_2025-1,2025-1
47022459,DEV-101,47022459_DEV-101_2025-1,2025-1
31020972,IA-300,31020972_IA-300_2025-1,2025-1
47122979,DAT-201,47122979_DAT-201_2025-1,2025-1
39255922,GEN-101,39255922_GEN-101_2025-1,2025-1
32581169,UX-100,32581169_UX-100_2025-1,2025-1
30923193,DAT-305,30923193_DAT-305_2025-1,2025-1
40253163,IA-400,40253163_IA-400_2025-1,2025-1
31313953,IA-300,31313953_IA-300_2025-1,2025-1
43492230,DAT-305,43492230_DAT-305_2025-1,2025-1
33088513,DEV-101,33088513_DEV-101_2025-1,2025-1
35837738,NEG-400,35837738_NEG-400_2025-1,2025-1
36996781,GEN-101,36996781_GEN-101_2025-1,2025-1
30395149,UX-100,30395149_UX-100_2025-1,2025-1
43286289,DAT-201,43286289_DAT-201_2025-1,2025-1
47908881,MKT-200,47908881_MKT-200_2025-1,2025-1
39337175,DAT-101,39337175_DAT-101_2025-1,2025-1
38661719,GEN-101,38661719_GEN-101_2025-1,2025-1
34869838,DEV-101,34869838_DEV-101_2025-1,2025-1
37458197,GEN-101,37458197_GEN-101_2025-1,2025-1
30268860,IA-400,30268860_IA-400_2025-1,2025-1
37098062,DAT-305,37098062_DAT-305_2025-1,2025-1
39647120,DAT-101,39647120_DAT-101_2025-1,2025-1
34647475,IA-400,34647475_IA-400_2025-1,2025-1
30074046,DAT-305,30074046_DAT-305_2025-1,2025-1
47367569,NEG-400,47367569_NEG-400_2025-1,2025-1
37561242,DEV-101,37561242_DEV-101_2025-1,2025-1
47915465,IA-300,47915465_IA-300_2025-1,2025-1
31547849,MKT-200,31547849_MKT-200_2025-1,2025-1
31081090,UX-100,31081090_UX-100_2025-1,2025-1
37286941,DEV-101,37286941_DEV-101_2025-1,2025-1
38070258,DAT-305,38070258_DAT-305_2025-1,2025-1
40140970,NEG-400,40140970_NEG-400_2025-1,2025-1
34987487,DAT-305,34987487_DAT-305_2025-1,2025-1
38940969,GEN-101,38940969_GEN-101_2025-1,2025-1
36257669,IA-400,36257669_IA-400_2025-1,2025-1
39905167,DAT-201,39905167_DAT-201_2025-1,2025-1
34057124,NEG-400,34057124_NEG-400_2025-1,2025-1
44101321,GEN-101,44101321_GEN-101_2025-1,2025-1
30528419,UX-100,30528419_UX-100_2025-1,2025-1
35410565,UX-100,35410565_UX-100_2025-1,2025-1
44190336,MKT-200,44190336_MKT-200_2025-1,2025-1
32281165,DAT-201,32281165_DAT-201_2025-1,2025-1
39547835,MKT-200,39547835_MKT-200_2025-1,2025-1
46997300,IA-300,46997300_IA-300_2025-1,2025-1
37095694,DEV-101,37095694_DEV-101_2025-1,2025-1
33610212,IA-400,33610212_IA-400_2025-1,2025-1
33418893,DAT-101,33418893_DAT-101_2025-1,2025-1
43831919,DAT-305,43831919_DAT-305_2025-1,2025-1
37057932,NEG-400,37057932_NEG-400_2025-1,2025-1
37456292,DEV-101,37456292_DEV-101_2025-1,2025-1
47556368,MKT-200,47556368_MKT-200_2025-1,2025-1
34353357,MKT-200,34353357_MKT-200_2025-1,2025-1
38393487,DAT-101,38393487_DAT-101_2025-1,2025-1
31185628,UX-100,31185628_UX-100_2025-1,2025-1
39195104,MKT-200,39195104_MKT-200_2025-1,2025-1
33594873,DEV-101,33594873_DEV-101_2025-1,2025-1
30173121,IA-400,30173121_IA-400_2025-1,2025-1
38452657,IA-300,38452657_IA-300_2025-1,2025-1
45711997,IA-400,45711997_IA-400_2025-1,2025-1
44492127,IA-400,44492127_IA-400_2025-1,2025-1
38549006,DAT-305,38549006_DAT-305_2025-1,2025-1
40745106,DAT-101,40745106_DAT-101_2025-1,2025-1
37098062,IA-400,37098062_IA-400_2025-1,2025-1
39337175,UX-100,39337175_UX-100_2025-1,2025-1
43069128,DAT-101,43069128_DAT-101_2025-1,2025-1
41337962,IA-400,41337962_IA-400_2025-1,2025-1
36570791,UX-100,36570791_UX-100_2025-1,2025-1
32286145,IA-300,32286145_IA-300_2025-1,2025-1
44407218,NEG-400,44407218_NEG-400_2025-1,2025-1
39733145,IA-300,39733145_IA-300_2025-1,2025-1
41051648,GEN-101,41051648_GEN-101_2025-1,2025-1
35608376,DAT-101,35608376_DAT-101_2025-1,2025-1
43402603,DAT-305,43402603_DAT-305_2025-1,2025-1
32108581,GEN-101,32108581_GEN-101_2025-1,2025-1
31909036,IA-300,31909036_IA-300_2025-1,2025-1
33362152,NEG-400,33362152_NEG-400_2025-1,2025-1
39473672,DAT-101,39473672_DAT-101_2025-1,2025-1
34355689,GEN-101,34355689_GEN-101_2025-1,2025-1
37874267,MKT-200,37874267_MKT-200_2025-1,2025-1
39817999,IA-400,39817999_IA-400_2025-1,2025-1
33714793,GEN-101,33714793_GEN-101_2025-1,2025-1
34151433,DEV-101,34151433_DEV-101_2025-1,2025-1
45404573,DAT-201,45404573_DAT-201_2025-1,2025-1
45011218,DEV-101,45011218_DEV-101_2025-1,2025-1
36421707,GEN-101,36421707_GEN-101_2025-1,2025-1
31748817,IA-400,31748817_IA-400_2025-1,2025-1
38340878,MKT-200,38340878_MKT-200_2025-1,2025-1
37219780,IA-300,37219780_IA-300_2025-1,2025-1
33594873,NEG-400,33594873_NEG-400_2025-1,2025-1
40358538,DEV-101,40358538_DEV-101_2025-1,2025-1
46329934,MKT-200,46329934_MKT-200_2025-1,2025-1
47163691,MKT-200,47163691_MKT-200_2025-1,2025-1
46024126,IA-300,46024126_IA-300_2025-1,2025-1
45444903,IA-400,45444903_IA-400_2025-1,2025-1
47633067,UX-100,47633067_UX-100_2025-1,2025-1
34887945,MKT-200,34887945_MKT-200_2025-1,2025-1
44398280,DAT-305,44398280_DAT-305_2025-1,2025-1
30639152,DAT-201,30639152_DAT-201_2025-1,2025-1
47199649,MKT-200,47199649_MKT-200_2025-1,2025-1
35054932,GEN-101,35054932_GEN-101_2025-1,2025-1
41337962,NEG-400,41337962_NEG-400_2025-1,2025-1
39195104,IA-400,39195104_IA-400_2025-1,2025-1
36169395,DAT-101,36169395_DAT-101_2025-1,2025-1
32935035,DEV-101,32935035_DEV-101_2025-1,2025-1
34648956,NEG-400,34648956_NEG-400_2025-1,2025-1
38002503,DAT-201,38002503_DAT-201_2025-1,2025-1
38066467,UX-100,38066467_UX-100_2025-1,2025-1
34873483,IA-300,34873483_IA-300_2025-1,2025-1
47700089,MKT-200,47700089_MKT-200_2025-1,2025-1
37572605,NEG-400,37572605_NEG-400_2025-1,2025-1
30649167,MKT-200,30649167_MKT-200_2025-1,2025-1
46345360,UX-100,46345360_UX-100_2025-1,2025-1
37802380,UX-100,37802380_UX-100_2025-1,2025-1
32459600,UX-100,32459600_UX-100_2025-1,2025-1
33683627,DAT-101,33683627_DAT-101_2025-1,2025-1
45890411,NEG-400,45890411_NEG-400_2025-1,2025-1
46909132,NEG-400,46909132_NEG-400_2025-1,2025-1
31153469,NEG-400,31153469_NEG-400_2025-1,2025-1
35629692,NEG-400,35629692_NEG-400_2025-1,2025-1
40116733,DEV-101,40116733_DEV-101_2025-1,2025-1
31662806,IA-400,31662806_IA-400_2025-1,2025-1
35385278,UX-100,35385278_UX-100_2025-1,2025-1
32889452,MKT-200,32889452_MKT-200_2025-1,2025-1
31864701,DAT-201,31864701_DAT-201_2025-1,2025-1
45291864,IA-400,45291864_IA-400_2025-1,2025-1
41132630,DEV-101,41132630_DEV-101_2025-1,2025-1
41083641,UX-100,41083641_UX-100_2025-1,2025-1
44182964,MKT-200,44182964_MKT-200_2025-1,2025-1
39046561,DAT-305,39046561_DAT-305_2025-1,2025-1
33846409,DAT-101,33846409_DAT-101_2025-1,2025-1
31742344,NEG-400,31742344_NEG-400_2025-1,2025-1
34197558,DEV-101,34197558_DEV-101_2025-1,2025-1
39733145,GEN-101,39733145_GEN-101_2025-1,2025-1
36443537,NEG-400,36443537_NEG-400_2025-1,2025-1
39278348,UX-100,39278348_UX-100_2025-1,2025-1
34696467,IA-300,34696467_IA-300_2025-1,2025-1
45711997,DAT-305,45711997_DAT-305_2025-1,2025-1
43185797,DAT-201,43185797_DAT-201_2025-1,2025-1
47481163,IA-400,47481163_IA-400_2025-1,2025-1
34933614,UX-100,34933614_UX-100_2025-1,2025-1
43751737,IA-400,43751737_IA-400_2025-1,2025-1
47707678,DAT-101,47707678_DAT-101_2025-1,2025-1
39407484,UX-100,39407484_UX-100_2025-1,2025-1
47776360,GEN-101,47776360_GEN-101_2025-1,2025-1
44754301,NEG-400,44754301_NEG-400_2025-1,2025-1
36780964,DAT-201,36780964_DAT-201_2025-1,2025-1
45825230,IA-400,45825230_IA-400_2025-1,2025-1
43647497,DAT-305,43647497_DAT-305_2025-1,2025-1
35407054,MKT-200,35407054_MKT-200_2025-1,2025-1
30356437,DAT-101,30356437_DAT-101_2025-1,2025-1
47649810,GEN-101,47649810_GEN-101_2025-1,2025-1
31445923,DEV-101,31445923_DEV-101_2025-1,2025-1
46193548,DAT-101,46193548_DAT-101_2025-1,2025-1
32839194,DAT-101,32839194_DAT-101_2025-1,2025-1
30219683,DAT-305,30219683_DAT-305_2025-1,2025-1
45338648,MKT-200,45338648_MKT-200_2025-1,2025-1
35410565,NEG-400,35410565_NEG-400_2025-1,2025-1
32329071,DAT-201,32329071_DAT-201_2025-1,2025-1
37947511,NEG-400,37947511_NEG-400_2025-1,2025-1
33353197,DAT-305,33353197_DAT-305_2025-1,2025-1
47182282,DEV-101,47182282_DEV-101_2025-1,2025-1
41084438,DEV-101,41084438_DEV-101_2025-1,2025-1
30506698,UX-100,30506698_UX-100_2025-1,2025-1
32034364,GEN-101,32034364_GEN-101_2025-1,2025-1
30703214,DEV-101,30703214_DEV-101_2025-1,2025-1
30187041,DAT-305,30187041_DAT-305_2025-1,2025-1
44334164,NEG-400,44334164_NEG-400_2025-1,2025-1
39023389,UX-100,39023389_UX-100_2025-1,2025-1
35147199,NEG-400,35147199_NEG-400_2025-1,2025-1
41994164,DAT-201,41994164_DAT-201_2025-1,2025-1
32986537,DEV-101,32986537_DEV-101_2025-1,2025-1
36600824,UX-100,36600824_UX-100_2025-1,2025-1
33179098,MKT-200,33179098_MKT-200_2025-1,2025-1
31898350,DAT-201,31898350_DAT-201_2025-1,2025-1
43537356,DAT-305,43537356_DAT-305_2025-1,2025-1
37725025,NEG-400,37725025_NEG-400_2025-1,2025-1
37763133,GEN-101,37763133_GEN-101_2025-1,2025-1
32723334,DAT-101,32723334_DAT-101_2025-1,2025-1
33896639,DAT-101,33896639_DAT-101_2025-1,2025-1
45150526,UX-100,45150526_UX-100_2025-1,2025-1
44754060,DAT-305,44754060_DAT-305_2025-1,2025-1
40045468,IA-400,40045468_IA-400_2025-1,2025-1
44830567,DEV-101,44830567_DEV-101_2025-1,2025-1
37171122,MKT-200,37171122_MKT-200_2025-1,2025-1
32821847,IA-400,32821847_IA-400_2025-1,2025-1
34294158,UX-100,34294158_UX-100_2025-1,2025-1
40804778,DAT-201,40804778_DAT-201_2025-1,2025-1
43704659,GEN-101,43704659_GEN-101_2025-1,2025-1
40330349,MKT-200,40330349_MKT-200_2025-1,2025-1
38089426,IA-400,38089426_IA-400_2025-1,2025-1
44049715,DAT-101,44049715_DAT-101_2025-1,2025-1
