Nombre,Apellido,Numero_Documento__c,Email,Telefono,Rol__c,Tipo_Documento__c
Paloma,Gonzalez,34888999,paloma.gonzalez@gmail.com,+54 9 3840 2726,Alumno,DNI
Thiago Benjamin,Perez,44216431,thiago.benjamin.perez25@outlook.com,+54 9 2299 6609,Alumno,DNI
Juan Manuel,Gomez,43456083,juan.manuel.gomez25@outlook.com,+54 9 3996 1245,Alumno,DNI
Guadalupe,Hernandez,31318273,guadalupe.hernandez@gmail.com,+54 9 3787 0236,Alumno,DNI
Joaquin,Herrera,40287807,joaquin.herrera@gmail.com,+54 9 2323 1233,Alumno,DNI
Maite,Martinez,36745278,maite.martinez@gmail.com,+54 9 3371 1700,Alumno,DNI
Maria Paz,Arias,46314784,maria.paz.arias25@outlook.com,+54 9 2311 0032,Alumno,DNI
Pedro,Ferreyra,45759579,pedro.ferreyra25@outlook.com,+54 9 3450 7680,Alumno,DNI
Maite,Ramos,36257669,maite.ramos@gmail.com,+54 9 2136 3807,Alumno,DNI
Juan Martin,Alvarez,44827801,juan.martin.alvarez25@outlook.com,+54 9 2714 8261,Alumno,DNI
Nicolas,Gomez,33179098,nicolas.gomez@gmail.com,+54 9 3781 1162,Alumno,DNI
Fausto,Gutierrez,46518516,fausto.gutierrez25@outlook.com,+54 9 3720 5245,Alumno,DNI
Geronimo,Acosta,44229724,geronimo.acosta25@outlook.com,+54 9 2507 4379,Alumno,DNI
Victoria,Vazquez,47611874,victoria.vazquez25@outlook.com,+54 9 3167 5878,Alumno,DNI
Constantino,Moreno,44221505,constantino.moreno25@outlook.com,+54 9 2504 1837,Alumno,DNI
Martina,Moreno,35930527,martina.moreno@gmail.com,+54 9 2480 5090,Alumno,DNI
Juan Francisco,Cruz,40400092,juan.francisco.cruz@gmail.com,+54 9 3864 0213,Alumno,DNI
Juan Martin,Suarez,41132630,juan.martin.suarez@gmail.com,+54 9 2314 1908,Alumno,DNI
Kiara,Rodriguez,44345701,kiara.rodriguez25@outlook.com,+54 9 2341 2551,Alumno,DNI
Juan Ignacio,Rojas,32816822,juan.ignacio.rojas@gmail.com,+54 9 2535 4047,Alumno,DNI
Joaquín,Aguirre,40745106,joaquin.aguirre@gmail.com,+54 9 3442 0527,Alumno,DNI
Facundo,Gomez,34869838,facundo.gomez@gmail.com,+54 9 3877 4942,Alumno,DNI
Santiago Benjamin,Alvarez,46256042,santiago.benjamin.alvarez25@outlook.com,+54 9 3745 9012,Alumno,DNI
Matias,Martin,35850567,matias.martin@gmail.com,+54 9 2276 9738,Alumno,DNI
Francisco,Correa,30677244,francisco.correa@gmail.com,+54 9 2954 2808,Alumno,DNI
Bautista Benjamin,Ruiz,32776935,bautista.benjamin.ruiz@gmail.com,+54 9 3526 3801,Alumno,DNI
Helena,Gomez,34130787,helena.gomez@gmail.com,+54 9 3179 5083,Alumno,DNI
Catalina,Sosa,35951430,catalina.sosa@gmail.com,+54 9 3274 5282,Alumno,DNI
Emma,Paz,37456292,emma.paz@gmail.com,+54 9 2915 7105,Alumno,DNI
Delfina,Diaz,35038799,delfina.diaz@gmail.com,+54 9 2637 9283,Alumno,DNI
Thiago Gabriel,Torres,43871165,thiago.gabriel.torres25@outlook.com,+54 9 3175 5589,Alumno,DNI
Martina,Coronel,31864701,martina.coronel@gmail.com,+54 9 3131 6223,Alumno,DNI
Facundo,Paez,32905120,facundo.paez@gmail.com,+54 9 2203 0561,Alumno,DNI
Martina,Ledesma,31355414,martina.ledesma@gmail.com,+54 9 2859 7962,Alumno,DNI
Ian Ezequiel,Silva,31360651,ian.ezequiel.silva@gmail.com,+54 9 3829 6877,Alumno,DNI
Genaro,Caceres,41398180,genaro.caceres@gmail.com,+54 9 3872 1544,Alumno,DNI
Catalina,Benitez,31297438,catalina.benitez@gmail.com,+54 9 3186 7579,Alumno,DNI
Isabella,Benitez,37226510,isabella.benitez@gmail.com,+54 9 3593 2788,Alumno,DNI
Matilda,Cabrera,47826221,matilda.cabrera25@outlook.com,+54 9 2779 9063,Alumno,DNI
Maria Guadalupe,Alvarez,32986537,maria.guadalupe.alvarez@gmail.com,+54 9 2709 5950,Alumno,DNI
Alejo,Juarez,34353357,alejo.juarez@gmail.com,+54 9 2977 7774,Alumno,DNI
Lautaro Benjamin,Garcia,40967959,lautaro.benjamin.garcia@gmail.com,+54 9 3115 2589,Alumno,DNI
Ignacio,Herrera,35809204,ignacio.herrera@gmail.com,+54 9 2197 8926,Alumno,DNI
Alma Valentina,Rojas,44224033,alma.valentina.rojas25@outlook.com,+54 9 3918 6431,Alumno,DNI
Julian,Ledesma,40228309,julian.ledesma@gmail.com,+54 9 2119 2341,Alumno,DNI
Morena,Perez,43496203,morena.perez25@outlook.com,+54 9 2914 0349,Alumno,DNI
Santino,Vargas,43831919,santino.vargas25@outlook.com,+54 9 2824 6183,Alumno,DNI
Mia,Paez,36304118,mia.paez@gmail.com,+54 9 2723 1546,Alumno,DNI
Salvador,Torres,47649810,salvador.torres25@outlook.com,+54 9 3948 2014,Alumno,DNI
Agustín,Roldan,40253163,agustin.roldan@gmail.com,+54 9 2136 8544,Alumno,DNI
Amparo,Herrera,39126892,amparo.herrera@gmail.com,+54 9 3635 7667,Alumno,DNI
Renata,Cruz,38002503,renata.cruz@gmail.com,+54 9 2623 2405,Alumno,DNI
Delfina,Diaz,31379839,delfina.diaz@gmail.com,+54 9 3977 5615,Alumno,DNI
Thiago Leonel,Gomez,47454606,thiago.leonel.gomez25@outlook.com,+54 9 2385 7762,Alumno,DNI
Mia Jazmin,Fernandez,37974144,mia.jazmin.fernandez@gmail.com,+54 9 2988 3506,Alumno,DNI
Nicolas,Coronel,45474619,nicolas.coronel25@outlook.com,+54 9 3111 0312,Alumno,DNI
Benjamin Ezequiel,Vargas,47021675,benjamin.ezequiel.vargas25@outlook.com,+54 9 2575 5414,Alumno,DNI
Santino,Lopez,43991288,santino.lopez25@outlook.com,+54 9 2139 5310,Alumno,DNI
Mora,Rojas,32705831,mora.rojas@gmail.com,+54 9 3996 9928,Alumno,DNI
Luna,Peralta,38452657,luna.peralta@gmail.com,+54 9 3304 4049,Alumno,DNI
Thiago Leonel,Villalba,32965831,thiago.leonel.villalba@gmail.com,+54 9 3572 0626,Alumno,DNI
Sofía,Valdez,35821025,sofia.valdez@gmail.com,+54 9 3396 6346,Alumno,DNI
Ana Paula,Gonzalez,32463030,ana.paula.gonzalez@gmail.com,+54 9 3150 0459,Alumno,DNI
Lautaro,Luna,34896530,lautaro.luna@gmail.com,+54 9 3634 2447,Alumno,DNI
Catalina,Gonzalez,31278420,catalina.gonzalez@gmail.com,+54 9 2852 0968,Alumno,DNI
Lucía ,Blanco,46828583,lucia..blanco25@outlook.com,+54 9 3174 5167,Alumno,DNI
Jeremias,Flores,36421707,jeremias.flores@gmail.com,+54 9 2227 9114,Alumno,DNI
Thiago,Villalba,39107282,thiago.villalba@gmail.com,+54 9 3639 4235,Alumno,DNI
Lucio,Gomez,40176154,lucio.gomez@gmail.com,+54 9 2422 5856,Alumno,DNI
Ignacio,Ruiz,34355144,ignacio.ruiz@gmail.com,+54 9 2811 9307,Alumno,DNI
Josefina,Arias,38693211,josefina.arias@gmail.com,+54 9 2330 5908,Alumno,DNI
Tobias,Castillo,35608376,tobias.castillo@gmail.com,+54 9 2609 1713,Alumno,DNI
Victoria,Castro,30811908,victoria.castro@gmail.com,+54 9 2181 6193,Alumno,DNI
Mateo Benjamin,Coronel,33175574,mateo.benjamin.coronel@gmail.com,+54 9 3615 8883,Alumno,DNI
Juana,Juarez,46780927,juana.juarez25@outlook.com,+54 9 2786 6426,Alumno,DNI
Juan Ignacio,Lucero,40045468,juan.ignacio.lucero@gmail.com,+54 9 2123 1979,Alumno,DNI
Zoe,Franco,34648956,zoe.franco@gmail.com,+54 9 2706 3482,Alumno,DNI
Benjamin,Olivera,37008739,benjamin.olivera@gmail.com,+54 9 2853 5290,Alumno,DNI
Jazmin,Acosta,47022459,jazmin.acosta25@outlook.com,+54 9 3135 5420,Alumno,DNI
Emma,Acosta,31020972,emma.acosta@gmail.com,+54 9 2700 4343,Alumno,DNI
Martina,Ponce,47122979,martina.ponce25@outlook.com,+54 9 3940 4991,Alumno,DNI
Bautista,Velazquez,39255922,bautista.velazquez@gmail.com,+54 9 2339 6181,Alumno,DNI
Valentina,Rios,32581169,valentina.rios@gmail.com,+54 9 2447 0353,Alumno,DNI
Mateo Joaquin,Olivera,30923193,mateo.joaquin.olivera@gmail.com,+54 9 2481 0044,Alumno,DNI
Santino Ezequiel,Quiroga,31313953,santino.ezequiel.quiroga@gmail.com,+54 9 2930 1507,Alumno,DNI
Renzo,Rodriguez,43492230,renzo.rodriguez25@outlook.com,+54 9 3387 6333,Alumno,DNI
Valentino,Ferreyra,33088513,valentino.ferreyra@gmail.com,+54 9 2279 1991,Alumno,DNI
Luca,Gimenez,35837738,luca.gimenez@gmail.com,+54 9 2839 5749,Alumno,DNI
Simon,Rojas,43286289,simon.rojas25@outlook.com,+54 9 3498 3718,Alumno,DNI
Thiago Ezequiel,Ferreyra,47908881,thiago.ezequiel.ferreyra25@outlook.com,+54 9 3314 9532,Alumno,DNI
Isabella,Romero,39337175,isabella.romero@gmail.com,+54 9 2846 4951,Alumno,DNI
Santiago Nicolas,Rodriguez,38661719,santiago.nicolas.rodriguez@gmail.com,+54 9 3276 2307,Alumno,DNI
Josefina,Gonzalez,37458197,josefina.gonzalez@gmail.com,+54 9 2673 8875,Alumno,DNI
Pedro,Duarte,30268860,pedro.duarte@gmail.com,+54 9 3255 7541,Alumno,DNI
Rosario,Aguirre,37098062,rosario.aguirre@gmail.com,+54 9 2104 7961,Alumno,DNI
Bautista,Castro,39647120,bautista.castro@gmail.com,+54 9 3859 7299,Alumno,DNI
Bruno,Gimenez,34647475,bruno.gimenez@gmail.com,+54 9 3280 6169,Alumno,DNI
Catalina,Martinez,30074046,catalina.martinez@gmail.com,+54 9 3304 8866,Alumno,DNI
Pedro,Cordoba,47367569,pedro.cordoba25@outlook.com,+54 9 3182 8480,Alumno,DNI
Lucas,Perez,37561242,lucas.perez@gmail.com,+54 9 2550 4270,Alumno,DNI
Thiago Ezequiel,Flores,47915465,thiago.ezequiel.flores25@outlook.com,+54 9 3495 5766,Alumno,DNI
Thiago Valentin,Mansilla,31547849,thiago.valentin.mansilla@gmail.com,+54 9 3515 2592,Alumno,DNI
Tomàs,Martinez,31081090,tomas.martinez@gmail.com,+54 9 3259 2795,Alumno,DNI
